Database S1.1,,,,,,,,,
Known perovskites,,,,,,,,,
Compound,Source (ICSD ID or reference),A,,B,,B’,,X,
Ca2CdReO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Cd,2,Re,6,O,-2
Ca2CdTeO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Cd,2,Te,6,O,-2
Ca2CdWO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Cd,2,W,6,O,-2
Ca2CoNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Co,3,Nb,5,O,-2
Ca2CoOsO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Co,2,Os,6,O,-2
Ca2CoReO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Co,2,Re,6,O,-2
Ca2CoTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Co,3,Ta,5,O,-2
Ca2CoTeO6,153001,Ca,2,Co,2,Te,6,O,-2
Ca2CoWO6,98732,Ca,2,Co,2,W,6,O,-2
Ca2CrMoO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Cr,3,Mo,5,O,-2
Ca2CrNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Cr,3,Nb,5,O,-2
Ca2CrOsO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Cr,3,Os,5,O,-2
Ca2CrReO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Cr,3,Re,5,O,-2
Ca2CrSbO6,290790,Ca,2,Cr,3,Sb,5,O,-2
Ca2CrTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Cr,3,Ta,5,O,-2
Ca2CrTiO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Cr,4,Ti,4,O,-2
Ca2CrWO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Cr,3,W,5,O,-2
Ca2DyNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Dy,3,Nb,5,O,-2
Ca2DySbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Dy,3,Sb,5,O,-2
Ca2DyTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Dy,3,Ta,5,O,-2
Ca2ErNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Er,3,Nb,5,O,-2
Ca2ErSbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Er,3,Sb,5,O,-2
Ca2ErTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Er,3,Ta,5,O,-2
Ca2EuNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Eu,3,Nb,5,O,-2
Ca2EuSbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Eu,3,Sb,5,O,-2
Ca2EuTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Eu,3,Ta,5,O,-2
Ca2FeBiO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Fe,3,Bi,5,O,-2
Ca2FeIrO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Fe,3,Ir,5,O,-2
Ca2FeMoO6,89955,Ca,2,Fe,2,Mo,6,O,-2
Ca2FeNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Fe,3,Nb,5,O,-2
Ca2FeOsO6,238148,Ca,2,Fe,3,Os,5,O,-2
Ca2FeReO6,150696,Ca,2,Fe,3,Re,5,O,-2
Ca2FeSbO6,83473,Ca,2,Fe,3,Sb,5,O,-2
Ca2FeTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Fe,3,Ta,5,O,-2
Ca2FeWO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Fe,2,W,6,O,-2
Ca2GaNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Ga,3,Nb,5,O,-2
Ca2GaTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Ga,3,Ta,5,O,-2
Ca2GdNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Gd,3,Nb,5,O,-2
Ca2GdRuO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Gd,3,Ru,5,O,-2
Ca2GdSbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Gd,3,Sb,5,O,-2
Ca2GdTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Gd,3,Ta,5,O,-2
Ca2HoNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Ho,3,Nb,5,O,-2
Ca2HoSbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Ho,3,Sb,5,O,-2
Ca2HoTaO6,191679,Ca,2,Ho,3,Ta,5,O,-2
Ca2InNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,In,3,Nb,5,O,-2
Ca2InOsO6,190486,Ca,2,In,3,Os,5,O,-2
Ca2InSbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,In,3,Sb,5,O,-2
Ca2InTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,In,3,Ta,5,O,-2
Ca2LaNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,La,3,Nb,5,O,-2
Ca2LaSbO6,169492,Ca,2,La,3,Sb,5,O,-2
Ca2LaTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,La,3,Ta,5,O,-2
Ca2LiOsO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Li,1,Os,7,O,-2
Ca2LiReO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Li,1,Re,7,O,-2
Ca2LuNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Lu,3,Nb,5,O,-2
Ca2LuSbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Lu,3,Sb,5,O,-2
Ca2LuTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Lu,3,Ta,5,O,-2
Ca2MgMoO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Mg,2,Mo,6,O,-2
Ca2MgReO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Mg,2,Re,6,O,-2
Ca2MgTeO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Mg,2,Te,6,O,-2
Ca2MgWO6,281564,Ca,2,Mg,2,W,6,O,-2
Ca2MnIrO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Mn,3,Ir,5,O,-2
Ca2MnMoO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Mn,2,Mo,6,O,-2
Ca2MnNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Mn,3,Nb,5,O,-2
Ca2MnReO6,247998,Ca,2,Mn,4,Re,4,O,-2
Ca2MnRuO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Mn,4,Ru,4,O,-2
Ca2MnSbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Mn,3,Sb,5,O,-2
Ca2MnTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Mn,3,Ta,5,O,-2
Ca2MnTeO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Mn,2,Te,6,O,-2
Ca2MnWO6,51615,Ca,2,Mn,2,W,6,O,-2
Ca2NaIO6,425448,Ca,2,Na,1,I,7,O,-2
Ca2NdNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Nd,3,Nb,5,O,-2
Ca2NdSbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Nd,3,Sb,5,O,-2
Ca2NdTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Nd,3,Ta,5,O,-2
Ca2NiOsO6,152444,Ca,2,Ni,2,Os,6,O,-2
Ca2NiReO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Ni,2,Re,6,O,-2
Ca2PdWO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Pd,3,W,5,O,-2
Ca2PrNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Pr,3,Nb,5,O,-2
Ca2PrSbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Pr,3,Sb,5,O,-2
Ca2PrTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Pr,3,Ta,5,O,-2
Ca2ScNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Sc,3,Nb,5,O,-2
Ca2ScReO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Sc,3,Re,5,O,-2
Ca2ScSbO6,262995,Ca,2,Sc,3,Sb,5,O,-2
Ca2ScTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Sc,3,Ta,5,O,-2
Ca2SiTiO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Si,4,Ti,4,O,-2
Ca2SmNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Sm,3,Nb,5,O,-2
Ca2SmSbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Sm,3,Sb,5,O,-2
Ca2SmTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Sm,3,Ta,5,O,-2
Ca2TbNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Tb,3,Nb,5,O,-2
Ca2TbSbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Tb,3,Sb,5,O,-2
Ca2TbTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Tb,3,Ta,5,O,-2
Ca2TiRuO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Ti,4,Ru,4,O,-2
Ca2TmNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Tm,3,Nb,5,O,-2
Ca2TmSbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Tm,3,Sb,5,O,-2
Ca2TmTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Tm,3,Ta,5,O,-2
Ca2VMoO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,V,4,Mo,4,O,-2
Ca2VNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,V,3,Nb,5,O,-2
Ca2VTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,V,3,Ta,5,O,-2
Ca2YbNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Yb,3,Nb,5,O,-2
Ca2YbSbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Yb,3,Sb,5,O,-2
Ca2YbTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Yb,3,Ta,5,O,-2
Ca2YSbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Y,3,Sb,5,O,-2
Ca2YTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Y,3,Ta,5,O,-2
Ca2ZnMoO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Zn,2,Mo,6,O,-2
Ca2ZnTeO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Zn,2,Te,6,O,-2
Ca2ZnWO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Zn,2,W,6,O,-2
Ca2ZrHfO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Zr,4,Hf,4,O,-2
Ca3MoO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Ca,2,Mo,6,O,-2
Ca3OsO6,Prog. In Solid State Chem. 43 1-36 (2015),Ca,2,Ca,2,Os,6,O,-2
Ca3ReO6,84791,Ca,2,Ca,2,Re,6,O,-2
Ca3TeO6,16362,Ca,2,Ca,2,Te,6,O,-2
Ca3UO6,59172,Ca,2,Ca,2,U,6,O,-2
Ca3WO6,262323,Ca,2,Ca,2,W,6,O,-2
Cd2CaTeO6,35084,Cd,2,Ca,2,Te,6,O,-2
Cd2CoTeO6,Prog. In Solid State Chem. 43 1-36 (2015),Cd,2,Co,2,Te,6,O,-2
Cd2FeNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Cd,2,Fe,3,Nb,5,O,-2
Cd2MgTeO6,Prog. In Solid State Chem. 43 1-36 (2015),Cd,2,Mg,2,Te,6,O,-2
Cd2MnTeO6,Prog. In Solid State Chem. 43 1-36 (2015),Cd,2,Mn,2,Te,6,O,-2
Cd2ZnTeO6,Prog. In Solid State Chem. 43 1-36 (2015),Cd,2,Zn,2,Te,6,O,-2
Cd3TeO6,Prog. In Solid State Chem. 43 1-36 (2015),Cd,2,Cd,2,Te,6,O,-2
Cs2AgCeCl6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Ag,1,Ce,3,Cl,-1
Cs2AgDyCl6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Ag,1,Dy,3,Cl,-1
Cs2AgErCl6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Ag,1,Er,3,Cl,-1
Cs2AgEuCl6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Ag,1,Eu,3,Cl,-1
Cs2AgGdCl6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Ag,1,Gd,3,Cl,-1
Cs2AgHoCl6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Ag,1,Ho,3,Cl,-1
Cs2AgHoF6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,Ag,1,Ho,3,F,-1
Cs2AgLuCl6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Ag,1,Lu,3,Cl,-1
Cs2AgLuF6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,Ag,1,Lu,3,F,-1
Cs2AgNdCl6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Ag,1,Nd,3,Cl,-1
Cs2AgPrCl6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Ag,1,Pr,3,Cl,-1
Cs2AgScCl6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Ag,1,Sc,3,Cl,-1
Cs2AgSmCl6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,Ag,1,Sm,3,Cl,-1
Cs2AgTbCl6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Ag,1,Tb,3,Cl,-1
Cs2AgTmCl6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Ag,1,Tm,3,Cl,-1
Cs2AgTmF6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,Ag,1,Tm,3,F,-1
Cs2AgYbCl6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Ag,1,Yb,3,Cl,-1
Cs2AgYbF6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,Ag,1,Yb,3,F,-1
Cs2AgYCl6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Ag,1,Y,3,Cl,-1
Cs2KAlF6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,K,1,Al,3,F,-1
Cs2KBiCl6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,K,1,Bi,3,Cl,-1
Cs2KCeF6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,K,1,Ce,3,F,-1
Cs2KCrCl6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,K,1,Cr,3,Cl,-1
Cs2KCrF6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,K,1,Cr,3,F,-1
Cs2KDyCl6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,K,1,Dy,3,Cl,-1
Cs2KDyF6,"Phys Solid State, 43, 1, 127-136 (2001)",Cs,1,K,1,Dy,3,F,-1
Cs2KErCl6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,K,1,Er,3,Cl,-1
Cs2KErF6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,K,1,Er,3,F,-1
Cs2KEuCl6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,K,1,Eu,3,Cl,-1
Cs2KEuF6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,K,1,Eu,3,F,-1
Cs2KFeF6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,K,1,Fe,3,F,-1
Cs2KGaF6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,K,1,Ga,3,F,-1
Cs2KGdCl6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,K,1,Gd,3,Cl,-1
Cs2KGdF6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,K,1,Gd,3,F,-1
Cs2KHoCl6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,K,1,Ho,3,Cl,-1
Cs2KHoF6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,K,1,Ho,3,F,-1
Cs2KInCl6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,K,1,In,3,Cl,-1
Cs2KInF6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,K,1,In,3,F,-1
Cs2KLaCl6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,K,1,La,3,Cl,-1
Cs2KLaF6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,K,1,La,3,F,-1
Cs2KLuF6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,K,1,Lu,3,F,-1
Cs2KNdCl6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,K,1,Nd,3,Cl,-1
Cs2KNdF6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,K,1,Nd,3,F,-1
Cs2KPrCl6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,K,1,Pr,3,Cl,-1
Cs2KPrF6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,K,1,Pr,3,F,-1
Cs2KScBr6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,K,1,Sc,3,Br,-1
Cs2KScF6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,K,1,Sc,3,F,-1
Cs2KSmCl6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,K,1,Sm,3,Cl,-1
Cs2KSmF6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,K,1,Sm,3,F,-1
Cs2KTbCl6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,K,1,Tb,3,Cl,-1
Cs2KTbF6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,K,1,Tb,3,F,-1
Cs2KTmBr6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,K,1,Tm,3,Br,-1
Cs2KTmCl6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,K,1,Tm,3,Cl,-1
Cs2KTmF6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,K,1,Tm,3,F,-1
Cs2KVF6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,K,1,V,3,F,-1
Cs2KYbCl6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,K,1,Yb,3,Cl,-1
Cs2KYbF6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,K,1,Yb,3,F,-1
Cs2KYCl6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,K,1,Y,3,Cl,-1
Cs2KYF6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,K,1,Y,3,F,-1
Cs2LiAlF6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Li,1,Al,3,F,-1
Cs2LiCeBr6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Li,1,Ce,3,Br,-1
Cs2LiCeCl6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,Li,1,Ce,3,Cl,-1
Cs2LiCrBr6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Li,1,Cr,3,Br,-1
Cs2LiCrF6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Li,1,Cr,3,F,-1
Cs2LiDyBr6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Li,1,Dy,3,Br,-1
Cs2LiDyCl6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,Li,1,Dy,3,Cl,-1
Cs2LiErBr6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Li,1,Er,3,Br,-1
Cs2LiErCl6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,Li,1,Er,3,Cl,-1
Cs2LiEuBr6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Li,1,Eu,3,Br,-1
Cs2LiEuCl6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,Li,1,Eu,3,Cl,-1
Cs2LiFeF6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Li,1,Fe,3,F,-1
Cs2LiGdBr6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Li,1,Gd,3,Br,-1
Cs2LiGdCl6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,Li,1,Gd,3,Cl,-1
Cs2LiHoBr6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Li,1,Ho,3,Br,-1
Cs2LiHoCl6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,Li,1,Ho,3,Cl,-1
Cs2LiInBr6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Li,1,In,3,Br,-1
Cs2LiLaBr6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Li,1,La,3,Br,-1
Cs2LiLaCl6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,Li,1,La,3,Cl,-1
Cs2LiNdBr6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Li,1,Nd,3,Br,-1
Cs2LiNdCl6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,Li,1,Nd,3,Cl,-1
Cs2LiPmBr6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Li,1,Pm,3,Br,-1
Cs2LiPrBr6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Li,1,Pr,3,Br,-1
Cs2LiPrCl6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,Li,1,Pr,3,Cl,-1
Cs2LiSmBr6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Li,1,Sm,3,Br,-1
Cs2LiSmCl6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,Li,1,Sm,3,Cl,-1
Cs2LiTbBr6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Li,1,Tb,3,Br,-1
Cs2LiTbCl6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,Li,1,Tb,3,Cl,-1
Cs2LiTmCl6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,Li,1,Tm,3,Cl,-1
Cs2LiVBr6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Li,1,V,3,Br,-1
Cs2LiVF6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Li,1,V,3,F,-1
Cs2LiYbCl6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,Li,1,Yb,3,Cl,-1
Cs2LiYBr6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Li,1,Y,3,Br,-1
Cs2LiYCl6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,Li,1,Y,3,Cl,-1
Cs2NaAmCl6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Na,1,Am,3,Cl,-1
Cs2NaBiCl6,"Phys Solid State, 43, 1, 127-136 (2001)",Cs,1,Na,1,Bi,3,Cl,-1
Cs2NaBkCl6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Na,1,Bk,3,Cl,-1
Cs2NaCeBr6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Na,1,Ce,3,Br,-1
Cs2NaCeCl6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,Na,1,Ce,3,Cl,-1
Cs2NaCeF6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,Na,1,Ce,3,F,-1
Cs2NaDyBr6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Na,1,Dy,3,Br,-1
Cs2NaDyCl6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,Na,1,Dy,3,Cl,-1
Cs2NaDyF6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,Na,1,Dy,3,F,-1
Cs2NaErBr6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Na,1,Er,3,Br,-1
Cs2NaErCl6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,Na,1,Er,3,Cl,-1
Cs2NaErF6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Na,1,Er,3,F,-1
Cs2NaEuBr6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Na,1,Eu,3,Br,-1
Cs2NaEuCl6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,Na,1,Eu,3,Cl,-1
Cs2NaEuF6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,Na,1,Eu,3,F,-1
Cs2NaFeCl6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Na,1,Fe,3,Cl,-1
Cs2NaGdBr6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Na,1,Gd,3,Br,-1
Cs2NaGdCl6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,Na,1,Gd,3,Cl,-1
Cs2NaGdF6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,Na,1,Gd,3,F,-1
Cs2NaHoBr6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Na,1,Ho,3,Br,-1
Cs2NaHoCl6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,Na,1,Ho,3,Cl,-1
Cs2NaHoF6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Na,1,Ho,3,F,-1
Cs2NaInCl6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Na,1,In,3,Cl,-1
Cs2NaLaBr6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Na,1,La,3,Br,-1
Cs2NaLaCl6,"Phys Solid State, 43, 1, 127-136 (2001)",Cs,1,Na,1,La,3,Cl,-1
Cs2NaLuBr6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Na,1,Lu,3,Br,-1
Cs2NaLuBr6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,NA,1,Lu,3,Br,-1
Cs2NaLuCl6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Na,1,Lu,3,Cl,-1
Cs2NaLuF6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,Na,1,Lu,3,F,-1
Cs2NaLuI6,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,Na,1,Lu,3,I,-1
Cs2NaNdBr6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Na,1,Nd,3,Br,-1
Cs2NaNdCl6,"Phys Solid State, 43, 1, 127-136 (2001)",Cs,1,Na,1,Nd,3,Cl,-1
Cs2NaPmBr6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Na,1,Pm,3,Br,-1
Cs2NaPrBr6,"Mat. Sci. Eng. 24, 81-151 (1998)",Cs,1,Na,1,Pr,3,Br,-1
